"UniqueCellID","Group","Poon_et_al_2022_nat_immunol_Human_Lung_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_Skin_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_jejunum_CD4_TRM","Zhang_2022_Gut_Human_Liver_HBV_infiltrating_CD4","Zheng_2017_Cell_Human_HCC_infiltrating_CD4","Argyriou_2022_Nat_Comm_Human_Synovial_tissues_TPH","Law_et_al_2024_Nature_Human_Synovial_tissues_TPH"
"huDistalExp1_plate6_BC61","huDistalExp1_plate6_BC61","H1N1",0.247800949246882,0.267243891599754,0.296933489016266,0.02429859554138,0.139468555864301,0.0916082849804079,0.0166877476390579
"huDistalExp1_plate6_BC33","huDistalExp1_plate6_BC33","H1N1",-0.105395414058823,-0.0217394064676026,-0.323417945493018,0.056119853839373,-0.0967573254658893,-0.176650168360063,-0.22604478412308
"huDistalExp1_plate6_BC14","huDistalExp1_plate6_BC14","H1N1",0.330611563599735,0.169657034971319,0.198692760541171,0.0114165769795289,0.149883020322459,-0.0432836367569779,-0.0636486903953277
"huDistalExp1_plate6_BC79","huDistalExp1_plate6_BC79","H1N1",-0.0244598955983587,-0.0255356855435839,-0.230080254045733,-0.142518966739639,-0.134151719570718,-0.00143688259420371,0.0550981530786731
"huDistalExp1_plate6_BC49","huDistalExp1_plate6_BC49","H1N1",-0.0380939855487842,0.12227241083863,-0.0338157343743802,0.185843602236144,0.185347814066146,-0.0569972951057766,-0.0381897475717503
"huDistalExp1_plate6_BC71","huDistalExp1_plate6_BC71","H1N1",0.169338385623008,0.0289015338629494,-0.147942181444669,0.0104305236861375,0.159334663123824,-0.0862087622385291,-0.117998606244437
"huDistalExp1_plate6_BC43","huDistalExp1_plate6_BC43","H1N1",0.138104186799634,-0.0204946605388305,0.0754214985345212,-0.200417087241459,-0.0642757403297347,-0.287749528720944,-0.171429673583899
"huDistalExp1_plate6_BC15","huDistalExp1_plate6_BC15","H1N1",0.18425076895709,0.182264394782466,0.0765882948313868,0.243776241734571,0.0797496199990759,-0.00915662546873375,0.00836818180147425
"huDistalExp1_plate6_BC10","huDistalExp1_plate6_BC10","H1N1",0.231791101686747,0.141757594743974,0.19294207803674,0.136757608922119,0.148823452692142,-0.107394922671548,-0.128935688097589
"huDistalExp1_plate6_BC81","huDistalExp1_plate6_BC81","H1N1",0.0394395410196446,0.115951280522259,0.164489699642196,0.0453035518571746,0.147453832421118,-0.142161731453331,-0.0709969346223096
"huDistalExp1_plate6_BC9","huDistalExp1_plate6_BC9","H1N1",-0.0881835671344211,0.137161366461218,-0.00488657329669262,-0.0588351856472902,0.0777979122776618,0.102312782523217,0.201989049692257
"huDistalExp1_plate6_BC21","huDistalExp1_plate6_BC21","H1N1",0.190466649142096,0.289450691779101,-0.0294403724757597,-0.0530713459993488,0.0599281373300681,-0.0678746760275876,-0.0195853739783326
"huDistalExp1_plate6_BC86","huDistalExp1_plate6_BC86","H1N1",-0.00786444715859991,0.171487375436869,-0.0233958433069701,0.0702108078562909,0.0396764475785635,-0.239342534671281,-0.0308300493426305
"huDistalExp1_plate6_BC18","huDistalExp1_plate6_BC18","H1N1",0.0213310425469412,0.115488486247779,-0.023539019116615,0.261049534123847,0.0674974158442354,-0.0624668255572618,0.00828720080524337
